Name,Price,VIN,Vehicle Summary,Top Features & Specs
2017 Ford Fusion SE 4dr Sedan (2.0L 4cyl Turbo 6A),"$19,157",VIN: 3FA6P0H9XHR175348,"['44,470 Miles', 'Ext: Shadow Black', 'Int: Medium Light Stone Leather', 'Automatic Transmission', 'Front Wheel Drive', '245 Horsepower', 'Gas Engine', '21 City / 32 Hwy\nBased on model year EPA mileage ratings for a standardly equipped Fusion. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Keyless Start', 'Power Driver Seat', 'Steering Wheel Audio Controls', 'Auxiliary Audio Input', 'Smart Device Integration', 'Brake Assist', 'Security System', 'Stability Control', 'Tire Pressure Monitor', 'Automatic Headlights']"
2020 Chevrolet Silverado 1500 LT 4dr Crew Cab 4WD 5.8 ft. SB (5.3L 8cyl 8A),"$45,000",VIN: 3GCUYDED3LG401653,"['9,415 Miles', 'Ext: Red Hot', 'Int: Jet Black Leather', 'Automatic Transmission', 'Four Wheel Drive', '355 Horsepower', 'Gas Engine', '19 City / 22 Hwy\nBased on model year EPA mileage ratings for a standardly equipped Silverado 1500. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'10” Bed Length"", '6 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['(KI3) heated steering wheel', '10-Way Power Driver Seat', 'Dual-Zone Automatic Climate Control', 'Keyless Open & Start', 'Remote Vehicle Starter System', 'Steering Wheel Mounted Electronic Cruise Control', 'Android Auto', 'Apple CarPlay/Android Auto', 'Auxiliary power outlet', 'Bluetooth For Phone', 'Brake assist', 'Electronic Stability Control', 'Low tire pressure warning', 'Occupant sensing airbag', 'Panic alarm', '4WD', 'All-Season|Tires', 'CAPACITY|GVWR 7100 LBS', 'Fully automatic headlights', 'Heated door mirrors', 'Trailer hitch']"
2019 Ford F-150 XLT 4dr SuperCrew 4WD 5.5 ft. SB (3.5L 6cyl Turbo 6A),"$44,800",VIN: 1FTEW1E49KKD42348,"['9,593 Miles', 'Ext: Magnetic Metallic', 'Int: Black Premium Cloth', 'Automatic Transmission', 'Four Wheel Drive', '375 Horsepower', 'Gas Engine', '18 City / 23 Hwy\nBased on model year EPA mileage ratings for a standardly equipped F-150. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'7” Bed Length"", '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['10-Way Power Driver & Passenger Seats', 'Heated Front Seats', 'Navigation System', 'Remote Engine Start', 'Remote keyless entry', 'Steering wheel mounted audio controls', 'Auxiliary Audio Input', 'Smart Device Integration', 'WiFi Hotspot', 'Brake Assist', 'Electronic Stability Control', 'Front Collision Mitigation', 'Low tire pressure warning', 'Occupant sensing airbag', 'Security System', 'Auto High-beam Headlights', 'Class IV Trailer Hitch Receiver', 'Four Wheel Drive', 'Power Glass Heated Sideview Mirrors', 'Tires - Front All-Terrain']"
2020 INFINITI QX80 LUXE 4dr SUV (5.6L 8cyl 7A),"$57,912",VIN: JN8AZ2NF2L9705339,"['17,197 Miles', 'Ext: Hermosa Blue', 'Int: Graphite Premium Leather', 'Automatic Transmission', 'Rear Wheel Drive', '400 Horsepower', 'Gas Engine', '14 City / 20 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', '7 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Cooled Seats', 'Heated Front Seat(s)', 'Heated Steering Wheel', 'Keyless Entry', 'Multi-Zone A/C', 'Navigation system: INFINITI InTouch Navigation', '', '', '', '', '', '', 'Auxiliary Audio Input', 'Premium Sound System', 'Smart Device Integration', 'WiFi Hotspot', 'Blind Spot Monitor', 'Brake Assist', 'Front Collision Mitigation', 'Lane Departure Prevention', 'Rear Parking Aid', 'Security System', '', '', 'Automatic Headlights', 'Heated Mirrors', 'Integrated Turn Signal Mirrors', 'Tires - Front All-Season', 'Tow Hitch']"
2020 Hyundai Santa Fe SEL 4dr SUV (2.4L 4cyl 8A),"$28,523",VIN: 5NMS33AD2LH235569,"['21,008 Miles', 'Ext: Quartz White', 'Int: Black/Black Cloth', 'Automatic Transmission', 'Front Wheel Drive', '185 Horsepower', 'Gas Engine', '22 City / 29 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Adaptive Cruise Control', 'Dual front impact airbags', 'Heated Front Seat(s)', 'Power Driver Seat', 'Remote Engine Start', 'Remote keyless entry', '', 'Auxiliary Audio Input', 'Smart Device Integration', 'Blind Spot Monitor', 'Brake Assist', 'Front Collision Mitigation', 'Lane Departure Warning', 'Low tire pressure warning', 'Occupant sensing airbag', '', '', 'Automatic Headlights', 'Heated Mirrors', 'Tires - Front All-Season']"
2019 Jeep Wrangler Unlimited Sahara 4dr SUV 4WD (2.0L 4cyl Turbo gas/electric hybrid 8A),"$43,995",VIN: 1C4HJXEN3KW642063,"['53,140 Miles', 'Ext: Bright White Clear Coat', 'Int: Black/Heritage Tan Cloth', 'Automatic Transmission', 'Four Wheel Drive', '270 Horsepower', 'Hybrid Engine', '17 City / 23 Hwy\nBased on model year EPA mileage ratings for a standardly equipped Wrangler. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['GPS Navigation', 'Heated Front Seats', 'Heated Steering Wheel Tires', 'Multi-Zone A/C', 'Remote proximity keyless entry', 'Remote start system', '', '8.4 Radio Premium Audio Group', 'Auxiliary Audio Input', 'Smart Device Integration', 'Advanced Brake Assist', 'Full Speed Forward Collision Warning Plus', 'Security System', 'Stability Control', 'Tire Pressure Monitor', '4WD', 'Fully automatic headlights', 'Heated door mirrors', 'Trailer tow']"
2018 Ford F-150 XLT 4dr SuperCrew 4WD 5.5 ft. SB (5.0L 8cyl 6A),"$42,899",VIN: 1FTEW1E50JKF75963,"['19,620 Miles', 'Ext: Magma Red Metallic', 'Int: Medium Earth Gray Cloth', 'Automatic Transmission', 'Four Wheel Drive', '395 Horsepower', 'Gas Engine', '18 City / 23 Hwy\nBased on model year EPA mileage ratings for a standardly equipped F-150. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'7” Bed Length"", '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']",[]
2019 Ford Explorer XLT 4dr SUV (3.5L 6cyl 6A),"$29,995",VIN: 1FM5K7D81KGB02583,"['55,747 Miles', 'Ext: Burgundy Velvet Metallic Tinted Clearcoat', 'Int: Ebony Black Premium Cloth', 'Automatic Transmission', 'Front Wheel Drive', '290 Horsepower', 'Flex-Fuel (FFV) Engine', '17 City / 24 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', '7 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Keyless Entry', 'Power Driver Seat', 'Steering Wheel Audio Controls', 'Auxiliary Audio Input', 'Smart Device Integration', 'Brake Assist', 'Rear Parking Aid', 'Security System', 'Stability Control', 'Tire Pressure Monitor', 'Automatic Headlights', 'Heated Mirrors', 'Tires - Front All-Season']"
2018 Ford F-150 XLT 4dr SuperCrew 4WD 5.5 ft. SB (3.3L 6cyl 6A),"$36,895",VIN: 1FTEW1E5XJKD50045,"['80,555 Miles', 'Ext: Blue Jeans Metallic', 'Int: Medium Earth Gray Cloth', 'Automatic Transmission', 'Four Wheel Drive', '18 City / 23 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'7” Bed Length"", '6 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Keyless Entry', 'Steering Wheel Audio Controls', 'Auxiliary Audio Input', 'Smart Device Integration', 'Brake Assist', 'Security System', 'Stability Control', 'Tire Pressure Monitor', 'Automatic Headlights', 'Four Wheel Drive', 'Tires - Front All-Terrain']"
2019 Ford F-150 Lariat 4dr SuperCrew 4WD 5.5 ft. SB (2.7L 6cyl Turbo 10A),"$53,943",VIN: 1FTEW1E46KKD02566,"['8,860 Miles', 'Ext: Silver Spruce Metallic', 'Int: Medium Light Camel Leather', 'Automatic Transmission', 'Four Wheel Drive', '375 Horsepower', 'Gas Engine', '19 City / 24 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'7” Bed Length"", '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']",[]
2019 Chevrolet Silverado 1500 LTZ 4dr Crew Cab 4WD 5.8 ft. SB (5.3L 8cyl 8A),"$49,129",VIN: 3GCUYGED4KG178703,"['27,783 Miles', 'Ext: Silver Ice Metallic', 'Int: Jet Black Leather', 'Automatic Transmission', 'Four Wheel Drive', '355 Horsepower', 'Gas Engine', '16 City / 22 Hwy\nBased on model year EPA mileage ratings. Use for comparison purposes only. Your mileage will vary depending on how you drive and maintain your vehicle, driving conditions, battery-pack age/condition and other factors.', ""5'10” Bed Length"", '5 Seats\nBased on default model values and available option information. Contact dealer to confirm.']","['Connected navigation', 'Driver Memory', 'Heated Steering Wheel', 'Keyless Open Start', 'LTZ 10-Way Power Driver Seat w/Lumbar', 'Remote Vehicle Starter System', '', 'Android Auto', 'Apple CarPlay', 'Auxiliary input', 'Bluetooth For Phone', 'woofer|AUDIO SYSTEM CHEVROLET INFOTAINMENT 3 PREMIUM SYSTEM', 'Automatic Braking', 'Forward Collision Alert', 'Lane Keep Assist w/Lane Departure Warning', 'Rear park assist', 'Side Blind Zone Alert', 'All-Season|Tires', 'Integrated Trailer Brake Controller', 'Outside Heated Power-Adjustable Mirrors']"
